SLpM,TD_Def,Sub_Avg,style,fighter_name,Height,Weight,Reach,Stance,DOB,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc
2.45,0.47,0.2,4,Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",0.44,2.45,0.58,1.23,0.24
3.8,0.0,0.0,0,Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",0.33,4.49,0.56,0.33,0.5
2.05,0.8,0.0,4,Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",0.4,2.9,0.55,0.64,0.2
7.09,0.57,0.0,2,Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",0.55,4.06,0.34,0.91,0.66
3.17,0.0,0.0,0,Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",0.41,5.93,0.44,0.0,0.0
3.75,0.0,0.0,0,Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",0.33,3.75,0.33,0.0,0.0
4.1,0.86,0.3,0,Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",0.5,2.33,0.65,0.0,0.0
3.7,0.33,0.6,0,Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",0.5,4.15,0.47,1.23,0.66
4.93,0.5,0.2,5,Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",0.5,7.19,0.53,0.94,0.25
3.69,0.87,0.0,0,Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",0.37,4.47,0.53,0.19,0.25
3.35,0.0,0.0,0,Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",0.41,4.89,0.46,0.0,0.0
2.92,0.65,0.2,0,Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",0.34,2.69,0.57,2.56,0.5
3.1,0.92,1.0,0,Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",0.41,3.62,0.57,2.29,0.67
1.8,0.87,0.0,4,Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",0.25,3.97,0.57,1.0,0.4
1.36,0.0,0.0,4,Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",0.19,3.61,0.53,0.0,0.0
3.84,0.42,0.0,0,Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",0.65,6.66,0.23,2.06,0.5
2.87,1.0,0.0,0,Heili Alateng,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",0.32,5.82,0.57,2.33,0.35
2.55,0.0,3.2,1,Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",0.42,0.64,0.81,3.19,1.0
3.05,0.5,6.1,1,John Albert,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",0.49,2.82,0.35,0.0,0.0
3.98,1.0,0.0,0,Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",0.51,6.08,0.52,1.54,0.37
4.83,0.77,0.4,5,Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",0.47,5.56,0.38,2.27,0.5
2.72,0.6,0.8,4,Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",0.45,2.79,0.49,1.44,0.62
1.93,0.81,0.9,4,Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",0.38,2.63,0.5,2.0,0.68
5.52,0.84,0.1,5,Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",0.38,5.97,0.61,0.23,0.5
3.59,0.0,0.0,0,Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",0.38,5.08,0.59,0.93,1.0
3.45,0.91,0.1,0,Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",0.45,3.52,0.61,0.57,0.56
3.88,0.53,0.0,0,JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",0.4,4.68,0.62,0.31,0.25
2.9,0.8,0.3,0,Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",0.4,4.38,0.56,2.26,0.41
2.1,0.7,1.2,4,John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",0.39,2.91,0.54,1.85,0.38
3.06,0.33,0.0,0,Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",0.54,3.2,0.52,1.19,0.57
1.61,0.66,0.7,4,Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",0.45,2.89,0.42,0.35,0.2
6.8,0.62,0.0,5,Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",0.56,5.31,0.38,0.67,0.33
1.41,1.0,0.0,4,Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",0.45,2.2,0.56,1.76,0.38
2.95,0.5,1.2,0,John Allan,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",0.43,4.01,0.52,1.94,0.71
3.19,0.76,0.5,0,Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",0.41,2.0,0.67,1.36,0.52
3.55,0.5,2.0,0,Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",0.59,4.57,0.39,1.17,0.37
1.28,0.26,0.0,4,Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",0.49,1.9,0.59,0.62,0.5
2.02,0.31,1.2,4,Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",0.49,1.2,0.61,3.74,0.38
5.39,0.75,0.0,5,Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",0.44,4.69,0.64,0.0,0.0
2.11,0.5,0.7,4,Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",0.54,4.76,0.32,2.69,0.28
2.43,0.6,1.0,4,Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",0.42,1.97,0.56,3.5,0.29
4.32,0.92,0.5,0,Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",0.41,4.39,0.55,2.92,0.36
2.73,0.5,0.0,4,Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",0.4,4.53,0.56,1.0,0.33
2.84,0.0,1.6,1,Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1994",0.37,3.31,0.53,0.0,0.0
3.73,0.63,0.3,0,Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",0.41,3.42,0.62,0.71,0.6
3.01,0.75,1.0,0,Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",0.46,3.69,0.5,1.39,0.52
2.02,1.0,1.9,1,Rafael Alves,"5' 8""",145 lbs.,"68""",Orthodox,"Oct 11, 1990",0.45,3.66,0.59,0.0,0.0
3.17,0.82,0.1,0,Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",0.44,3.26,0.55,0.08,0.16
3.29,1.0,0.0,0,Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",0.47,0.82,0.78,5.84,0.56
0.52,0.0,0.0,4,Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.28,3.14,0.37,0.0,0.0
1.42,0.57,1.4,4,Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",0.44,2.63,0.51,3.37,0.37
3.02,0.8,0.1,0,Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",0.45,4.18,0.51,1.34,0.34
4.43,0.83,0.0,5,Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",0.46,2.22,0.59,4.89,0.5
1.82,0.53,0.6,4,Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",0.46,2.94,0.38,0.56,0.33
6.38,0.76,0.4,5,Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",0.49,5.26,0.53,3.11,0.57
3.26,0.66,0.3,0,Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",0.42,2.77,0.63,1.93,0.5
2.21,0.57,0.4,4,Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",0.5,2.72,0.46,2.83,0.5
5.87,1.0,0.0,5,Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",0.55,3.47,0.58,3.0,0.75
3.58,0.85,0.0,0,Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",0.56,1.36,0.68,0.62,0.33
4.81,0.77,0.6,5,Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",0.47,3.55,0.54,0.29,0.4
