WINNER,NUM_OF_ROUNDS,LAST_ROUND,LAST_ROUND_TIME,TOTAL_FIGHT_TIME,TITLE_BOUT,DECISION_MAJORITY,DECISION_SPLIT,DECISION_UNANIMOUS,KO/TKO,SUBMISSION,BANTAMWEIGHT,CATCH WEIGHT,FEATHERWEIGHT,FLYWEIGHT,HEAVYWEIGHT,LIGHT HEAVYWEIGHT,LIGHTWEIGHT,MIDDLEWEIGHT,WELTERWEIGHT,WOMEN'S BANTAMWEIGHT,WOMEN'S FEATHERWEIGHT,WOMEN'S FLYWEIGHT,WOMEN'S STRAWWEIGHT,REFEREE,DATE,LOCATION,R_ODDS,B_ODDS,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_STYLE,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_HEAD,R_HEAD_ATT,R_BODY,R_BODY_ATT,R_LEG,R_LEG_ATT,R_DISTANCE,R_DISTANCE_ATT,R_CLINCH,R_CLINCH_ATT,R_GROUND,R_GROUND_ATT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_STYLE,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_HEAD,B_HEAD_ATT,B_BODY,B_BODY_ATT,B_LEG,B_LEG_ATT,B_DISTANCE,B_DISTANCE_ATT,B_CLINCH,B_CLINCH_ATT,B_GROUND,B_GROUND_ATT
Charles Oliveira,5,3,28,628,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike Beltran,"March 14, 2020","Brasilia, Distrito Federal, Brazil",1.69,2.35,Kevin Lee,27.0,175.3,77.1,195.6,0,0,41,80,61,100,2,3,0,1,390,35,74,6,6,0,0,31,65,0,0,10,15,Charles Oliveira,30.0,177.8,70.3,188.0,1,0,43,65,51,73,0,1,2,1,11,28,49,9,10,6,6,35,56,2,2,6,7
Gilbert Burns,3,1,154,154,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Osiris Maia,"March 14, 2020","Brasilia, Distrito Federal, Brazil",2.6,1.59,Demian Maia,42.0,185.4,77.1,182.9,4,0,4,7,4,7,2,2,0,0,83,4,7,0,0,0,0,4,7,0,0,0,0,Gilbert Burns,33.0,177.8,77.1,180.3,0,1,13,16,14,17,0,0,0,0,4,10,13,1,1,2,2,5,7,0,0,8,9
Renato Moicano,3,1,44,44,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Eduardo Herdy,"March 14, 2020","Brasilia, Distrito Federal, Brazil",1.29,4.15,Renato Moicano,30.0,180.3,70.3,182.9,5,0,1,2,4,5,1,1,1,0,25,1,2,0,0,0,0,1,2,0,0,0,0,Damir Hadzovic,33.0,175.3,70.3,177.8,0,0,1,5,1,5,0,0,0,0,0,0,4,0,0,1,1,1,5,0,0,0,0
Nikita Krylov,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike Beltran,"March 14, 2020","Brasilia, Distrito Federal, Brazil",1.73,2.27,Johnny Walker,27.0,198.1,93.0,208.3,0,0,37,50,91,112,0,0,0,1,145,33,45,2,3,2,2,10,14,8,9,19,27,Nikita Krylov,28.0,190.5,93.0,195.6,0,0,45,58,128,148,3,8,0,1,680,38,49,6,7,1,2,10,18,2,3,33,37
Francisco Trinaldo,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Osiris Maia,"March 14, 2020","Brasilia, Distrito Federal, Brazil",1.62,2.5,Francisco Trinaldo,41.0,175.3,70.3,177.8,0,0,55,126,55,126,0,1,0,0,0,34,100,17,22,4,4,53,124,2,2,0,0,John Makdessi,34.0,172.7,70.3,172.7,5,0,67,123,68,124,0,0,0,0,0,15,54,16,26,36,43,65,121,2,2,0,0
Brandon Moreno,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eduardo Herdy,"March 14, 2020","Brasilia, Distrito Federal, Brazil",1.67,2.4,Jussier Formiga,34.0,165.1,56.7,170.2,4,0,15,32,61,81,1,9,1,1,253,9,24,4,5,2,3,12,28,0,1,3,3,Brandon Moreno,26.0,170.2,56.7,177.8,0,0,33,82,94,147,0,2,0,1,225,29,76,4,6,0,0,20,61,4,9,9,12
Amanda Ribas,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Camila Albuquerque,"March 14, 2020","Brasilia, Distrito Federal, Brazil",1.29,4.15,Amanda Ribas,26.0,160.0,56.7,167.6,5,0,85,159,173,254,1,3,2,1,445,57,125,18,24,10,10,45,111,8,9,32,39,Randa Markos,34.0,162.6,52.2,160.0,0,0,36,77,56,99,1,1,0,0,60,22,58,3,7,11,12,33,74,3,3,0,0
Elizeu Zaleski dos Santos,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Osiris Maia,"March 14, 2020","Brasilia, Distrito Federal, Brazil",1.82,2.12,Elizeu Zaleski dos Santos,33.0,180.3,77.1,185.4,0,0,62,156,74,169,2,4,0,0,150,25,95,16,32,21,29,56,149,4,5,2,2,Aleksei Kunchenko,35.0,172.7,77.1,177.8,0,0,57,112,97,156,0,0,0,0,24,29,72,11,18,17,22,48,101,8,10,1,1
Maryna Moroz,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Camila Albuquerque,"March 14, 2020","Brasilia, Distrito Federal, Brazil",1.71,2.3,Mayra Bueno Silva,28.0,167.6,61.2,167.6,0,0,88,146,92,150,0,0,0,0,45,45,92,20,22,23,32,73,130,15,16,0,0,Maryna Moroz,28.0,170.2,56.7,170.2,0,0,139,247,176,298,2,8,0,0,269,75,160,49,71,15,16,111,203,10,18,18,26
Bea Malecki,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Mike Beltran,"March 14, 2020","Brasilia, Distrito Federal, Brazil",1.65,2.45,Veronica Macedo,24.0,162.6,56.7,162.6,0,0,93,258,106,271,0,9,0,0,12,67,213,14,30,12,15,90,246,3,12,0,0,Bea Malecki,28.0,175.3,61.2,188.0,5,0,130,247,190,326,0,0,0,0,204,92,191,34,50,4,6,107,214,11,13,12,20
Israel Adesanya,5,5,300,1500,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"March 07, 2020","Las Vegas, Nevada, USA",1.38,3.4,Israel Adesanya,30.0,193.0,83.9,203.2,0,0,48,132,48,132,0,0,0,0,0,14,81,9,22,25,29,48,132,0,0,0,0,Yoel Romero,42.0,182.9,83.9,185.4,0,0,40,89,40,89,0,3,0,0,0,20,58,7,13,13,18,35,82,5,7,0,0
Zhang Weili,5,5,300,1500,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Keith Peterson,"March 07, 2020","Las Vegas, Nevada, USA",1.54,2.7,Zhang Weili,30.0,162.6,52.2,160.0,5,0,165,408,170,413,1,8,0,0,74,96,305,11,22,58,81,158,393,7,15,0,0,Joanna Jedrzejczyk,32.0,167.6,52.2,165.1,5,0,186,360,196,370,0,0,0,0,60,96,230,32,47,58,83,171,342,15,18,0,0
Beneil Dariush,3,2,60,360,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jason Herzog,"March 07, 2020","Las Vegas, Nevada, USA",1.62,2.52,Beneil Dariush,30.0,177.8,70.3,182.9,0,1,12,20,17,28,1,3,2,0,261,8,16,3,3,1,1,12,20,0,0,0,0,Drakkar Klose,31.0,175.3,70.3,177.8,0,0,15,25,27,37,0,0,0,0,0,12,22,0,0,3,3,13,22,2,3,0,0
Neil Magny,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Keith Peterson,"March 07, 2020","Las Vegas, Nevada, USA",2.57,1.6,Neil Magny,32.0,190.5,77.1,203.2,0,0,74,139,123,188,4,7,0,0,306,56,118,12,15,6,6,34,96,18,20,22,23,Li Jingliang,31.0,182.9,77.1,180.3,5,0,16,62,16,65,2,3,0,0,219,11,50,1,3,4,9,13,53,3,9,0,0
Alex Oliveira,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mark Smith,"March 07, 2020","Las Vegas, Nevada, USA",1.8,2.15,Alex Oliveira,32.0,180.3,77.1,193.0,0,0,40,77,61,98,1,5,0,0,210,21,56,11,13,8,8,35,67,3,8,2,2,Max Griffin,34.0,180.3,77.1,193.0,0,0,23,50,62,96,2,3,0,1,333,17,40,4,8,2,2,20,47,3,3,0,0
Sean O'Malley,3,1,122,122,False,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"March 07, 2020","Las Vegas, Nevada, USA",1.3,4.0,Sean O'Malley,25.0,180.3,61.2,182.9,5,0,18,22,18,22,0,0,0,0,2,9,11,6,7,3,4,13,17,0,0,5,5,Jose Quinonez,29.0,172.7,61.2,175.3,0,0,0,11,0,11,0,0,0,0,0,0,7,0,1,0,3,0,11,0,0,0,0
Mark Madsen,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Chris Tognoni,"March 07, 2020","Las Vegas, Nevada, USA",1.47,2.95,Mark Madsen,35.0,172.7,70.3,182.9,4,0,15,58,20,65,8,12,0,0,481,14,57,0,0,1,1,5,42,3,5,7,11,Austin Hubbard,28.0,177.8,70.3,180.3,0,0,41,75,45,79,0,0,0,0,0,25,48,8,14,8,13,37,67,4,8,0,0
Rodolfo Vieira,3,1,178,178,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jason Herzog,"March 07, 2020","Las Vegas, Nevada, USA",1.18,5.8,Rodolfo Vieira,30.0,182.9,83.9,185.4,1,0,5,10,10,15,2,2,1,0,114,5,10,0,0,0,0,0,3,0,0,5,7,Saparbeg Safarov,33.0,185.4,83.9,198.1,0,0,5,10,7,12,0,0,0,0,0,2,7,1,1,2,2,5,10,0,0,0,0
Gerald Meerschaert,3,3,133,733,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Keith Peterson,"March 07, 2020","Las Vegas, Nevada, USA",2.25,1.74,Gerald Meerschaert,32.0,185.4,83.9,195.6,0,1,86,187,86,188,1,1,1,0,21,66,166,20,21,0,0,81,177,5,10,0,0,Deron Winn,30.0,167.6,83.9,177.8,5,0,53,111,53,111,1,2,0,0,11,37,93,11,13,5,5,47,103,6,8,0,0
Batgerel Danaa,3,1,181,181,False,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chris Tognoni,"March 07, 2020","Las Vegas, Nevada, USA",1.83,2.1,Batgerel Danaa,30.0,170.2,61.2,177.8,5,1,17,33,17,33,0,0,0,0,3,16,29,0,2,1,2,12,27,0,1,5,5,Guido Cannetti,40.0,167.6,61.2,172.7,0,0,11,23,11,23,0,0,0,0,0,0,7,3,6,8,10,9,21,2,2,0,0
Deiveson Figueiredo,5,2,114,414,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"February 29, 2020","Norfolk, Virginia, USA",1.67,2.3,Joseph Benavidez,35.0,162.6,56.7,165.1,0,0,46,94,46,94,0,2,0,0,10,28,63,8,13,10,18,36,78,10,16,0,0,Deiveson Figueiredo,32.0,165.1,56.7,172.7,1,1,25,49,25,49,1,1,1,0,27,18,39,7,10,0,0,20,44,2,2,3,3
Felicia Spencer,3,1,217,217,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Dan Miragliotta,"February 29, 2020","Norfolk, Virginia, USA",1.11,6.85,Felicia Spencer,29.0,167.6,65.8,172.7,0,0,40,64,68,98,1,2,0,0,141,38,61,1,1,1,2,9,24,1,1,30,39,Zarah Fairn,33.0,172.7,65.8,182.9,4,0,13,28,14,29,0,0,0,0,0,12,27,1,1,0,0,12,26,1,2,0,0
